Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
167,3,5,14,2,13894.73,5037,894,10802,36856,524,53710,20009.49,3621.34,4627.79,7074.84,1522.54,0,0,53710
168,2,4,10,2,4232.49,5965,702,3386,11553,1344,137760,8559.89,1850.23,0,0,1142.52,18476.86,28238.62,91044.52
169,3,5,15,2,7348.35,3330,1659,18196,62085,0,0,34525.68,4203.72,6902.89,7465.93,8986.79,0,0,0
170,1,1,1,5,6622.69,6098,608,7770,26511,121,12403,11939.3,2722.54,367.04,0,11482.13,0,12403,0
171,4,10,27,2,7757.7,6321,666,15351,52378,0,0,29333.01,4554.44,0,15582.2,2908.36,0,0,0
172,4,10,27,2,9131.57,6070,714,13161,44905,663,67958,33281.9,7650.7,3972.4,0,0,0,21029.66,46928.34
173,1,2,3,2,10734.45,7176,254,3260,11123,921,94403,9487.81,1442.76,192.44,0,0,3473.74,23730.7,67198.56
174,3,7,21,2,6905.04,2350,2457,29395,100296,0,0,44698.26,5746.58,16553.66,21711.02,11586.48,0,0,0
175,1,2,3,5,9130.42,4704,894,3437,11727,566,58015,7146.36,4580.64,0,0,0,4021.18,10752.32,43241.5
176,4,8,23,2,33453.18,7025,565,31247,106615,0,0,59296.56,17340.72,0,26358.9,3618.82,0,0,0
177,3,7,21,2,7217.39,840,4617,11247,38375,535,54838,18212.18,3471.53,16691.29,0,0,14071.17,22291.94,18474.9
